dexNum,id,form,name,starter,startercost,prevolution,eggTier,generation,spriteKey,formKey,hasVariants,category,type1,type2,ability1,ability2,hiddenAbility,passive,bst,hp,atk,def,spatk,spdef,spd,sublegend,legendary,mythical,weight,height,catchRate,friendship,baseExp,growthRate,maleRatio,genderDiffs,isStartSelectable,isUnobtainable,canChangeForm
217,URSARING,,Ursaring,TEDDIURSA,,TEDDIURSA,,2,217,,true,Hibernator Pokémon,NORMAL,,GUTS,QUICK_FEET,UNNERVE,THICK_FAT,500,90,130,75,75,75,55,false,false,false,125.8,1.8,60,70,175,MEDIUM_FAST,50,true,false,,false
218,SLUGMA,,Slugma,SLUGMA,2,,COMMON,2,218,,false,Lava Pokémon,FIRE,,MAGMA_ARMOR,FLAME_BODY,WEAK_ARMOR,DROUGHT,250,40,40,40,70,40,20,false,false,false,35,0.7,190,70,50,MEDIUM_FAST,50,false,false,,false
219,MAGCARGO,,Magcargo,SLUGMA,,SLUGMA,,2,219,,false,Lava Pokémon,FIRE,ROCK,MAGMA_ARMOR,FLAME_BODY,WEAK_ARMOR,DESOLATE_LAND,430,60,50,120,90,80,30,false,false,false,55,0.8,75,70,151,MEDIUM_FAST,50,false,false,,false
220,SWINUB,,Swinub,SWINUB,3,,COMMON,2,220,,false,Pig Pokémon,ICE,GROUND,OBLIVIOUS,SNOW_CLOAK,THICK_FAT,UNAWARE,250,50,50,40,30,30,50,false,false,false,6.5,0.4,225,50,50,SLOW,50,false,false,,false
221,PILOSWINE,,Piloswine,SWINUB,,SWINUB,,2,221,,false,Swine Pokémon,ICE,GROUND,OBLIVIOUS,SNOW_CLOAK,THICK_FAT,UNAWARE,450,100,100,80,60,60,50,false,false,false,55.8,1.1,75,50,158,SLOW,50,true,false,,false
222,CORSOLA,,Corsola,CORSOLA,2,,COMMON,2,222,,true,Coral Pokémon,WATER,ROCK,HUSTLE,NATURAL_CURE,REGENERATOR,STORM_DRAIN,410,65,55,95,65,95,35,false,false,false,5,0.6,60,50,144,FAST,25,false,false,,false
223,REMORAID,,Remoraid,REMORAID,2,,COMMON,2,223,,false,Jet Pokémon,WATER,,HUSTLE,SNIPER,MOODY,SIMPLE,300,35,65,35,65,35,65,false,false,false,12,0.6,190,50,60,MEDIUM_FAST,50,false,false,,false
224,OCTILLERY,,Octillery,REMORAID,,REMORAID,,2,224,,false,Jet Pokémon,WATER,,SUCTION_CUPS,SNIPER,MOODY,SIMPLE,480,75,105,75,105,75,45,false,false,false,28.5,0.9,75,50,168,MEDIUM_FAST,50,true,false,,false
225,DELIBIRD,,Delibird,DELIBIRD,1,,COMMON,2,225,,false,Delivery Pokémon,ICE,FLYING,VITAL_SPIRIT,HUSTLE,INSOMNIA,HUGE_POWER,330,45,55,45,65,45,75,false,false,false,16,0.9,45,50,116,FAST,50,false,false,,false
226,MANTINE,,Mantine,MANTYKE,,MANTYKE,,2,226,,true,Kite Pokémon,WATER,FLYING,SWIFT_SWIM,WATER_ABSORB,WATER_VEIL,UNAWARE,485,85,40,70,80,140,70,false,false,false,220,2.1,25,50,170,SLOW,50,false,false,,false
227,SKARMORY,Normal,Skarmory,SKARMORY,4,,RARE,2,227,,true,Armor Bird Pokémon,STEEL,FLYING,KEEN_EYE,STURDY,WEAK_ARMOR,TOUGH_CLAWS,465,65,80,140,40,70,70,false,false,false,50.5,1.7,25,50,163,SLOW,50,false,true,false,true
227,SKARMORY,Mega,Mega Skarmory,SKARMORY,,,,2,227-mega,mega,true,Armor Bird Pokémon,STEEL,FLYING,STALWART,STALWART,STALWART,TOUGH_CLAWS,565,65,140,110,40,100,110,false,false,false,50.5,1.7,25,50,163,SLOW,50,false,false,false,
228,HOUNDOUR,,Houndour,HOUNDOUR,3,,COMMON,2,228,,true,Dark Pokémon,DARK,FIRE,EARLY_BIRD,FLASH_FIRE,UNNERVE,BALL_FETCH,330,45,60,30,80,50,65,false,false,false,10.8,0.6,120,35,66,SLOW,50,false,false,,false
229,HOUNDOOM,Normal,Houndoom,HOUNDOUR,,HOUNDOUR,,2,229,,true,Dark Pokémon,DARK,FIRE,EARLY_BIRD,FLASH_FIRE,UNNERVE,LIGHTNING_ROD,500,75,90,50,110,80,95,false,false,false,35,1.4,45,35,175,SLOW,50,true,true,false,true
229,HOUNDOOM,Mega,Mega Houndoom,HOUNDOUR,,HOUNDOUR,,2,229-mega,mega,true,Dark Pokémon,DARK,FIRE,SOLAR_POWER,SOLAR_POWER,SOLAR_POWER,LIGHTNING_ROD,600,75,90,90,140,90,115,false,false,false,35,1.4,45,35,175,SLOW,50,true,false,false,
230,KINGDRA,,Kingdra,HORSEA,,SEADRA,,2,230,,true,Dragon Pokémon,WATER,DRAGON,SWIFT_SWIM,SNIPER,DAMP,MULTISCALE,540,75,95,95,95,95,85,false,false,false,152,1.8,45,50,270,MEDIUM_FAST,50,false,false,,false
231,PHANPY,,Phanpy,PHANPY,3,,COMMON,2,231,,true,Long Nose Pokémon,GROUND,,PICKUP,PICKUP,SAND_VEIL,STURDY,330,90,60,60,40,40,40,false,false,false,33.5,0.5,120,70,66,MEDIUM_FAST,50,false,false,,false
232,DONPHAN,,Donphan,PHANPY,,PHANPY,,2,232,,true,Armor Pokémon,GROUND,,STURDY,STURDY,SAND_VEIL,SPEED_BOOST,500,90,120,120,60,60,50,false,false,false,120,1.1,60,70,175,MEDIUM_FAST,50,true,false,,false
233,PORYGON2,,Porygon2,PORYGON,,PORYGON,,2,233,,true,Virtual Pokémon,NORMAL,,TRACE,DOWNLOAD,ANALYTIC,TRANSISTOR,515,85,80,90,105,95,60,false,false,false,32.5,0.6,45,50,180,MEDIUM_FAST,,false,false,,false
234,STANTLER,,Stantler,STANTLER,3,,COMMON,2,234,,false,Big Horn Pokémon,NORMAL,,INTIMIDATE,FRISK,SAP_SIPPER,SPEED_BOOST,465,73,95,62,85,65,85,false,false,false,71.2,1.4,45,70,163,SLOW,50,false,false,,false
235,SMEARGLE,,Smeargle,SMEARGLE,1,,COMMON,2,235,,true,Painter Pokémon,NORMAL,,OWN_TEMPO,TECHNICIAN,MOODY,PRANKSTER,250,55,20,35,20,45,75,false,false,false,58,1.2,45,70,88,FAST,50,false,false,,false
236,TYROGUE,,Tyrogue,TYROGUE,3,,COMMON,2,236,,false,Scuffle Pokémon,FIGHTING,,GUTS,STEADFAST,VITAL_SPIRIT,DEFIANT,210,35,35,35,35,35,35,false,false,false,21,0.7,75,50,42,MEDIUM_FAST,100,false,false,,false
237,HITMONTOP,,Hitmontop,TYROGUE,,TYROGUE,,2,237,,false,Handstand Pokémon,FIGHTING,,INTIMIDATE,TECHNICIAN,STEADFAST,SPEED_BOOST,455,50,95,95,35,110,70,false,false,false,48,1.4,45,50,159,MEDIUM_FAST,100,false,false,,false
238,SMOOCHUM,,Smoochum,SMOOCHUM,3,,COMMON,2,238,,true,Kiss Pokémon,ICE,PSYCHIC,OBLIVIOUS,FOREWARN,HYDRATION,PSYCHIC_SURGE,305,45,30,15,85,65,65,false,false,false,6,0.4,45,50,61,MEDIUM_FAST,0,false,false,,false
239,ELEKID,,Elekid,ELEKID,3,,COMMON,2,239,,true,Electric Pokémon,ELECTRIC,,STATIC,STATIC,VITAL_SPIRIT,SHEER_FORCE,360,45,63,37,65,55,95,false,false,false,23.5,0.6,45,50,72,MEDIUM_FAST,75,false,false,,false
240,MAGBY,,Magby,MAGBY,3,,COMMON,2,240,,true,Live Coal Pokémon,FIRE,,FLAME_BODY,FLAME_BODY,VITAL_SPIRIT,SHEER_FORCE,365,45,75,37,70,55,83,false,false,false,21.4,0.7,45,50,73,MEDIUM_FAST,75,false,false,,false
241,MILTANK,,Miltank,MILTANK,4,,RARE,2,241,,false,Milk Cow Pokémon,NORMAL,,THICK_FAT,SCRAPPY,SAP_SIPPER,STAMINA,490,95,80,105,40,70,100,false,false,false,75.5,1.2,45,50,172,SLOW,0,false,false,,false
242,BLISSEY,,Blissey,HAPPINY,,CHANSEY,,2,242,,true,Happiness Pokémon,NORMAL,,NATURAL_CURE,SERENE_GRACE,HEALER,FUR_COAT,540,255,10,10,75,135,55,false,false,false,46.8,1.5,30,140,608,FAST,0,false,false,,false
243,RAIKOU,,Raikou,RAIKOU,6,,EPIC,2,243,,true,Thunder Pokémon,ELECTRIC,,PRESSURE,PRESSURE,INNER_FOCUS,BEAST_BOOST,580,90,85,75,115,100,115,true,false,false,178,1.9,3,35,290,SLOW,,false,false,,false
244,ENTEI,,Entei,ENTEI,6,,EPIC,2,244,,true,Volcano Pokémon,FIRE,,PRESSURE,PRESSURE,INNER_FOCUS,BEAST_BOOST,580,115,115,85,90,75,100,true,false,false,198,2.1,3,35,290,SLOW,,false,false,,false
245,SUICUNE,,Suicune,SUICUNE,6,,EPIC,2,245,,true,Aurora Pokémon,WATER,,PRESSURE,PRESSURE,INNER_FOCUS,BEAST_BOOST,580,100,75,115,90,115,85,true,false,false,187,2,3,35,290,SLOW,,false,false,,false
246,LARVITAR,,Larvitar,LARVITAR,4,,RARE,2,246,,true,Rock Skin Pokémon,ROCK,GROUND,GUTS,GUTS,SAND_VEIL,SOLID_ROCK,300,50,64,50,45,50,41,false,false,false,72,0.6,45,35,60,SLOW,50,false,false,,false
247,PUPITAR,,Pupitar,LARVITAR,,LARVITAR,,2,247,,true,Hard Shell Pokémon,ROCK,GROUND,SHED_SKIN,SHED_SKIN,SHED_SKIN,SOLID_ROCK,410,70,84,70,65,70,51,false,false,false,152,1.2,45,35,144,SLOW,50,false,false,,false
248,TYRANITAR,Normal,Tyranitar,LARVITAR,,PUPITAR,,2,248,,true,Armor Pokémon,ROCK,DARK,SAND_STREAM,SAND_STREAM,UNNERVE,SOLID_ROCK,600,100,134,110,95,100,61,false,false,false,202,2,45,35,300,SLOW,50,false,true,false,true
248,TYRANITAR,Mega,Mega Tyranitar,LARVITAR,,PUPITAR,,2,248-mega,mega,true,Armor Pokémon,ROCK,DARK,SAND_STREAM,SAND_STREAM,SAND_STREAM,SOLID_ROCK,700,100,164,150,95,120,71,false,false,false,202,2,45,35,300,SLOW,50,false,false,false,
249,LUGIA,,Lugia,LUGIA,8,,LEGENDARY,2,249,,true,Diving Pokémon,PSYCHIC,FLYING,PRESSURE,PRESSURE,MULTISCALE,DELTA_STREAM,680,106,90,130,90,154,110,false,true,false,216,5.2,3,0,340,SLOW,,false,false,,false
250,HO_OH,,Ho-Oh,HO_OH,8,,LEGENDARY,2,250,,true,Rainbow Pokémon,FIRE,FLYING,PRESSURE,PRESSURE,REGENERATOR,SERENE_GRACE,680,106,130,90,110,154,90,false,true,false,199,3.8,3,0,340,SLOW,,false,false,,false
251,CELEBI,,Celebi,CELEBI,5,,EPIC,2,251,,true,Time Travel Pokémon,PSYCHIC,GRASS,NATURAL_CURE,NATURAL_CURE,NONE,PSYCHIC_SURGE,600,100,100,100,100,100,100,false,false,true,5,0.6,45,100,300,MEDIUM_SLOW,,false,false,,false
252,TREECKO,,Treecko,TREECKO,3,,COMMON,3,252,,false,Wood Gecko Pokémon,GRASS,,OVERGROW,OVERGROW,UNBURDEN,TINTED_LENS,310,40,45,35,65,55,70,false,false,false,5,0.5,45,50,62,MEDIUM_SLOW,87.5,false,false,,false
253,GROVYLE,,Grovyle,TREECKO,,TREECKO,,3,253,,false,Wood Gecko Pokémon,GRASS,,OVERGROW,OVERGROW,UNBURDEN,TINTED_LENS,405,50,65,45,85,65,95,false,false,false,21.6,0.9,45,50,142,MEDIUM_SLOW,87.5,false,false,,false
254,SCEPTILE,Normal,Sceptile,TREECKO,,GROVYLE,,3,254,,false,Forest Pokémon,GRASS,,OVERGROW,OVERGROW,UNBURDEN,TINTED_LENS,530,70,85,65,105,85,120,false,false,false,52.2,1.7,45,50,265,MEDIUM_SLOW,87.5,false,true,false,true
254,SCEPTILE,Mega,Mega Sceptile,TREECKO,,GROVYLE,,3,254-mega,mega,false,Forest Pokémon,GRASS,DRAGON,LIGHTNING_ROD,LIGHTNING_ROD,LIGHTNING_ROD,TINTED_LENS,630,70,110,75,145,85,145,false,false,false,52.2,1.7,45,50,265,MEDIUM_SLOW,87.5,false,false,false,
255,TORCHIC,,Torchic,TORCHIC,4,,COMMON,3,255,,true,Chick Pokémon,FIRE,,BLAZE,BLAZE,SPEED_BOOST,DEFIANT,310,45,60,40,70,50,45,false,false,false,2.5,0.4,45,50,62,MEDIUM_SLOW,87.5,true,false,,false
256,COMBUSKEN,,Combusken,TORCHIC,,TORCHIC,,3,256,,true,Young Fowl Pokémon,FIRE,FIGHTING,BLAZE,BLAZE,SPEED_BOOST,DEFIANT,405,60,85,60,85,60,55,false,false,false,19.5,0.9,45,50,142,MEDIUM_SLOW,87.5,true,false,,false
257,BLAZIKEN,Normal,Blaziken,TORCHIC,,COMBUSKEN,,3,257,,true,Blaze Pokémon,FIRE,FIGHTING,BLAZE,BLAZE,SPEED_BOOST,DEFIANT,530,80,120,70,110,70,80,false,false,false,52,1.9,45,50,265,MEDIUM_SLOW,87.5,true,true,false,true
257,BLAZIKEN,Mega,Mega Blaziken,TORCHIC,,COMBUSKEN,,3,257-mega,mega,true,Blaze Pokémon,FIRE,FIGHTING,SPEED_BOOST,SPEED_BOOST,SPEED_BOOST,DEFIANT,630,80,160,80,130,80,100,false,false,false,52,1.9,45,50,265,MEDIUM_SLOW,87.5,true,false,false,
258,MUDKIP,,Mudkip,MUDKIP,3,,COMMON,3,258,,false,Mud Fish Pokémon,WATER,,TORRENT,TORRENT,DAMP,REGENERATOR,310,50,70,50,50,50,40,false,false,false,7.6,0.4,45,50,62,MEDIUM_SLOW,87.5,false,false,,false
259,MARSHTOMP,,Marshtomp,MUDKIP,,MUDKIP,,3,259,,false,Mud Fish Pokémon,WATER,GROUND,TORRENT,TORRENT,DAMP,REGENERATOR,405,70,85,70,60,70,50,false,false,false,28,0.7,45,50,142,MEDIUM_SLOW,87.5,false,false,,false
260,SWAMPERT,Normal,Swampert,MUDKIP,,MARSHTOMP,,3,260,,false,Mud Fish Pokémon,WATER,GROUND,TORRENT,TORRENT,DAMP,REGENERATOR,535,100,110,90,85,90,60,false,false,false,81.9,1.5,45,50,268,MEDIUM_SLOW,87.5,false,true,false,true
260,SWAMPERT,Mega,Mega Swampert,MUDKIP,,MARSHTOMP,,3,260-mega,mega,false,Mud Fish Pokémon,WATER,GROUND,SWIFT_SWIM,SWIFT_SWIM,SWIFT_SWIM,DRIZZLE,635,100,150,110,95,110,70,false,false,false,81.9,1.5,45,50,268,MEDIUM_SLOW,87.5,false,false,false,
261,POOCHYENA,,Poochyena,POOCHYENA,2,,COMMON,3,261,,true,Bite Pokémon,DARK,,RUN_AWAY,QUICK_FEET,RATTLED,TOUGH_CLAWS,220,35,55,35,30,30,35,false,false,false,13.6,0.5,255,70,56,MEDIUM_FAST,50,false,false,,false
262,MIGHTYENA,,Mightyena,POOCHYENA,,POOCHYENA,,3,262,,true,Bite Pokémon,DARK,,INTIMIDATE,QUICK_FEET,MOXIE,TOUGH_CLAWS,420,70,90,70,60,60,70,false,false,false,37,1,127,70,147,MEDIUM_FAST,50,false,false,,false
263,ZIGZAGOON,,Zigzagoon,ZIGZAGOON,2,,COMMON,3,263,,true,Tiny Raccoon Pokémon,NORMAL,,PICKUP,GLUTTONY,QUICK_FEET,RUN_AWAY,240,38,30,41,30,41,60,false,false,false,17.5,0.4,255,50,56,MEDIUM_FAST,50,false,false,,false
264,LINOONE,,Linoone,ZIGZAGOON,,ZIGZAGOON,,3,264,,true,Rushing Pokémon,NORMAL,,PICKUP,GLUTTONY,QUICK_FEET,RUN_AWAY,420,78,70,61,50,61,100,false,false,false,32.5,0.5,90,50,147,MEDIUM_FAST,50,false,false,,false
265,WURMPLE,,Wurmple,WURMPLE,1,,COMMON,3,265,,true,Worm Pokémon,BUG,,SHIELD_DUST,SHIELD_DUST,RUN_AWAY,POISON_POINT,195,45,45,35,20,30,20,false,false,false,3.6,0.3,255,70,56,MEDIUM_FAST,50,false,false,,false
266,SILCOON,,Silcoon,WURMPLE,,WURMPLE,,3,266,,true,Cocoon Pokémon,BUG,,SHED_SKIN,SHED_SKIN,SHED_SKIN,STURDY,205,50,35,55,25,25,15,false,false,false,10,0.6,120,70,72,MEDIUM_FAST,50,false,false,,false
267,BEAUTIFLY,,Beautifly,WURMPLE,,SILCOON,,3,267,,true,Butterfly Pokémon,BUG,FLYING,SWARM,SWARM,RIVALRY,SIMPLE,395,60,70,50,100,50,65,false,false,false,28.4,1,45,70,198,MEDIUM_FAST,50,true,false,,false
268,CASCOON,,Cascoon,WURMPLE,,WURMPLE,,3,268,,true,Cocoon Pokémon,BUG,,SHED_SKIN,SHED_SKIN,SHED_SKIN,STURDY,205,50,35,55,25,25,15,false,false,false,11.5,0.7,120,70,72,MEDIUM_FAST,50,false,false,,false
269,DUSTOX,,Dustox,WURMPLE,,CASCOON,,3,269,,true,Poison Moth Pokémon,BUG,POISON,SHIELD_DUST,SHIELD_DUST,COMPOUND_EYES,SIMPLE,385,60,50,70,50,90,65,false,false,false,31.6,1.2,45,70,193,MEDIUM_FAST,50,true,false,,false
270,LOTAD,,Lotad,LOTAD,3,,COMMON,3,270,,false,Water Weed Pokémon,WATER,GRASS,SWIFT_SWIM,RAIN_DISH,OWN_TEMPO,DRIZZLE,220,40,30,30,40,50,30,false,false,false,2.6,0.5,255,50,44,MEDIUM_SLOW,50,false,false,,false
271,LOMBRE,,Lombre,LOTAD,,LOTAD,,3,271,,false,Jolly Pokémon,WATER,GRASS,SWIFT_SWIM,RAIN_DISH,OWN_TEMPO,DRIZZLE,340,60,50,50,60,70,50,false,false,false,32.5,1.2,120,50,119,MEDIUM_SLOW,50,false,false,,false
272,LUDICOLO,,Ludicolo,LOTAD,,LOMBRE,,3,272,,false,Carefree Pokémon,WATER,GRASS,SWIFT_SWIM,RAIN_DISH,OWN_TEMPO,DRIZZLE,480,80,70,70,90,100,70,false,false,false,55,1.5,45,50,240,MEDIUM_SLOW,50,true,false,,false
273,SEEDOT,,Seedot,SEEDOT,2,,COMMON,3,273,,false,Acorn Pokémon,GRASS,,CHLOROPHYLL,EARLY_BIRD,PICKPOCKET,STURDY,220,40,40,50,30,30,30,false,false,false,4,0.5,255,50,44,MEDIUM_SLOW,50,false,false,,false
274,NUZLEAF,,Nuzleaf,SEEDOT,,SEEDOT,,3,274,,false,Wily Pokémon,GRASS,DARK,CHLOROPHYLL,EARLY_BIRD,PICKPOCKET,SHARPNESS,340,70,70,40,60,40,60,false,false,false,28,1,120,50,119,MEDIUM_SLOW,50,true,false,,false
275,SHIFTRY,,Shiftry,SEEDOT,,NUZLEAF,,3,275,,false,Wicked Pokémon,GRASS,DARK,CHLOROPHYLL,WIND_RIDER,PICKPOCKET,SHARPNESS,480,90,100,60,90,60,80,false,false,false,59.6,1.3,45,50,240,MEDIUM_SLOW,50,true,false,,false
276,TAILLOW,,Taillow,TAILLOW,3,,COMMON,3,276,,true,Tiny Swallow Pokémon,NORMAL,FLYING,GUTS,GUTS,SCRAPPY,FLARE_BOOST,270,40,55,30,30,30,85,false,false,false,2.3,0.3,200,70,54,MEDIUM_SLOW,50,false,false,,false
277,SWELLOW,,Swellow,TAILLOW,,TAILLOW,,3,277,,true,Swallow Pokémon,NORMAL,FLYING,GUTS,GUTS,SCRAPPY,FLARE_BOOST,455,60,85,60,75,50,125,false,false,false,19.8,0.7,45,70,159,MEDIUM_SLOW,50,false,false,,false
278,WINGULL,,Wingull,WINGULL,2,,COMMON,3,278,,true,Seagull Pokémon,WATER,FLYING,KEEN_EYE,HYDRATION,RAIN_DISH,WATER_ABSORB,270,40,30,30,55,30,85,false,false,false,9.5,0.6,190,50,54,MEDIUM_FAST,50,false,false,,false
279,PELIPPER,,Pelipper,WINGULL,,WINGULL,,3,279,,true,Water Bird Pokémon,WATER,FLYING,KEEN_EYE,DRIZZLE,RAIN_DISH,SWIFT_SWIM,440,60,50,100,95,70,65,false,false,false,28,1.2,45,50,154,MEDIUM_FAST,50,false,false,,false
280,RALTS,,Ralts,RALTS,4,,RARE,3,280,,true,Feeling Pokémon,PSYCHIC,FAIRY,SYNCHRONIZE,TRACE,TELEPATHY,NEUROFORCE,198,28,25,25,45,35,40,false,false,false,6.6,0.4,235,35,40,SLOW,50,false,false,,false
281,KIRLIA,,Kirlia,RALTS,,RALTS,,3,281,,true,Emotion Pokémon,PSYCHIC,FAIRY,SYNCHRONIZE,TRACE,TELEPATHY,NEUROFORCE,278,38,35,35,65,55,50,false,false,false,20.2,0.8,120,35,97,SLOW,50,false,false,,false
282,GARDEVOIR,Normal,Gardevoir,RALTS,,KIRLIA,,3,282,,true,Embrace Pokémon,PSYCHIC,FAIRY,SYNCHRONIZE,TRACE,TELEPATHY,NEUROFORCE,518,68,65,65,125,115,80,false,false,false,48.4,1.6,45,35,259,SLOW,50,false,true,false,true
282,GARDEVOIR,Mega,Mega Gardevoir,RALTS,,KIRLIA,,3,282-mega,mega,true,Embrace Pokémon,PSYCHIC,FAIRY,PIXILATE,PIXILATE,PIXILATE,PSYCHIC_SURGE,618,68,85,65,165,135,100,false,false,false,48.4,1.6,45,35,259,SLOW,50,false,false,false,
283,SURSKIT,,Surskit,SURSKIT,2,,COMMON,3,283,,false,Pond Skater Pokémon,BUG,WATER,SWIFT_SWIM,SWIFT_SWIM,RAIN_DISH,WATER_BUBBLE,269,40,30,32,50,52,65,false,false,false,1.7,0.5,200,70,54,MEDIUM_FAST,50,false,false,,false
284,MASQUERAIN,,Masquerain,SURSKIT,,SURSKIT,,3,284,,false,Eyeball Pokémon,BUG,FLYING,INTIMIDATE,INTIMIDATE,UNNERVE,WATER_BUBBLE,454,70,60,62,100,82,80,false,false,false,3.6,0.8,75,70,159,MEDIUM_FAST,50,false,false,,false
285,SHROOMISH,,Shroomish,SHROOMISH,3,,COMMON,3,285,,true,Mushroom Pokémon,GRASS,,EFFECT_SPORE,POISON_HEAL,QUICK_FEET,GUTS,295,60,40,60,40,60,35,false,false,false,4.5,0.4,255,70,59,FLUCTUATING,50,false,false,,false
286,BRELOOM,,Breloom,SHROOMISH,,SHROOMISH,,3,286,,true,Mushroom Pokémon,GRASS,FIGHTING,EFFECT_SPORE,POISON_HEAL,TECHNICIAN,GUTS,460,60,130,80,60,60,70,false,false,false,39.2,1.2,90,70,161,FLUCTUATING,50,false,false,,false
287,SLAKOTH,,Slakoth,SLAKOTH,4,,RARE,3,287,,true,Slacker Pokémon,NORMAL,,TRUANT,TRUANT,STALL,COMATOSE,280,60,60,60,35,35,30,false,false,false,24,0.8,255,70,56,SLOW,50,false,false,,false
288,VIGOROTH,,Vigoroth,SLAKOTH,,SLAKOTH,,3,288,,true,Wild Monkey Pokémon,NORMAL,,VITAL_SPIRIT,VITAL_SPIRIT,INSOMNIA,TOUGH_CLAWS,440,80,80,80,55,55,90,false,false,false,46.5,1.4,120,70,154,SLOW,50,false,false,,false
289,SLAKING,,Slaking,SLAKOTH,,VIGOROTH,,3,289,,true,Lazy Pokémon,NORMAL,,TRUANT,TRUANT,STALL,COMATOSE,670,150,160,100,95,65,100,false,false,false,130.5,2,45,70,285,SLOW,50,false,false,,false
290,NINCADA,,Nincada,NINCADA,4,,RARE,3,290,,true,Trainee Pokémon,BUG,GROUND,COMPOUND_EYES,COMPOUND_EYES,RUN_AWAY,TECHNICIAN,266,31,45,90,30,30,40,false,false,false,5.5,0.5,255,50,53,ERRATIC,50,false,false,,false
291,NINJASK,,Ninjask,NINCADA,,NINCADA,,3,291,,true,Ninja Pokémon,BUG,FLYING,SPEED_BOOST,SPEED_BOOST,INFILTRATOR,TECHNICIAN,456,61,90,45,50,50,160,false,false,false,12,0.8,120,50,160,ERRATIC,50,false,false,,false
292,SHEDINJA,,Shedinja,NINCADA,,NINCADA,,3,292,,true,Shed Pokémon,BUG,GHOST,WONDER_GUARD,WONDER_GUARD,NONE,MAGIC_GUARD,236,1,90,45,30,30,40,false,false,false,1.2,0.8,45,50,83,ERRATIC,,false,false,,false
293,WHISMUR,,Whismur,WHISMUR,2,,COMMON,3,293,,false,Whisper Pokémon,NORMAL,,SOUNDPROOF,SOUNDPROOF,RATTLED,PUNK_ROCK,240,64,51,23,51,23,28,false,false,false,16.3,0.6,190,50,48,MEDIUM_SLOW,50,false,false,,false
294,LOUDRED,,Loudred,WHISMUR,,WHISMUR,,3,294,,false,Big Voice Pokémon,NORMAL,,SOUNDPROOF,SOUNDPROOF,SCRAPPY,PUNK_ROCK,360,84,71,43,71,43,48,false,false,false,40.5,1,120,50,126,MEDIUM_SLOW,50,false,false,,false
295,EXPLOUD,,Exploud,WHISMUR,,LOUDRED,,3,295,,false,Loud Noise Pokémon,NORMAL,,SOUNDPROOF,SOUNDPROOF,SCRAPPY,PUNK_ROCK,490,104,91,63,91,73,68,false,false,false,84,1.5,45,50,245,MEDIUM_SLOW,50,false,false,,false
296,MAKUHITA,,Makuhita,MAKUHITA,3,,COMMON,3,296,,true,Guts Pokémon,FIGHTING,,THICK_FAT,GUTS,SHEER_FORCE,STAMINA,237,72,60,30,20,30,25,false,false,false,86.4,1,180,70,47,FLUCTUATING,75,false,false,,false
297,HARIYAMA,,Hariyama,MAKUHITA,,MAKUHITA,,3,297,,true,Arm Thrust Pokémon,FIGHTING,,THICK_FAT,GUTS,SHEER_FORCE,STAMINA,474,144,120,60,40,60,50,false,false,false,253.8,2.3,200,70,166,FLUCTUATING,75,false,false,,false
298,AZURILL,,Azurill,AZURILL,4,,COMMON,3,298,,true,Polka Dot Pokémon,NORMAL,FAIRY,THICK_FAT,HUGE_POWER,SAP_SIPPER,MISTY_SURGE,190,50,20,40,20,40,20,false,false,false,2,0.2,150,50,38,FAST,25,false,false,,false
299,NOSEPASS,,Nosepass,NOSEPASS,2,,COMMON,3,299,,true,Compass Pokémon,ROCK,,STURDY,MAGNET_PULL,SAND_FORCE,SOLID_ROCK,375,30,45,135,45,90,30,false,false,false,97,1,255,70,75,MEDIUM_FAST,50,false,false,,false
300,SKITTY,,Skitty,SKITTY,1,,COMMON,3,300,,true,Kitten Pokémon,NORMAL,,CUTE_CHARM,NORMALIZE,WONDER_SKIN,SCRAPPY,260,50,45,45,35,35,50,false,false,false,11,0.6,255,70,52,FAST,25,false,false,,false
301,DELCATTY,,Delcatty,SKITTY,,SKITTY,,3,301,,true,Prim Pokémon,NORMAL,,CUTE_CHARM,NORMALIZE,WONDER_SKIN,SCRAPPY,400,70,65,65,55,55,90,false,false,false,32.6,1.1,60,70,140,FAST,25,false,false,,false
302,SABLEYE,Normal,Sableye,SABLEYE,2,,COMMON,3,302,,true,Darkness Pokémon,DARK,GHOST,KEEN_EYE,STALL,PRANKSTER,UNNERVE,380,50,75,75,65,65,50,false,false,false,11,0.5,45,35,133,MEDIUM_SLOW,50,false,true,false,true
302,SABLEYE,Mega,Mega Sableye,SABLEYE,,,,3,302-mega,mega,true,Darkness Pokémon,DARK,GHOST,MAGIC_BOUNCE,MAGIC_BOUNCE,MAGIC_BOUNCE,UNNERVE,480,50,85,125,85,115,20,false,false,false,11,0.5,45,35,133,MEDIUM_SLOW,50,false,false,false,
303,MAWILE,Normal,Mawile,MAWILE,2,,COMMON,3,303,,true,Deceiver Pokémon,STEEL,FAIRY,HYPER_CUTTER,INTIMIDATE,SHEER_FORCE,ADAPTABILITY,380,50,85,85,55,55,50,false,false,false,11.5,0.6,45,50,133,FAST,50,false,true,false,true
303,MAWILE,Mega,Mega Mawile,MAWILE,,,,3,303-mega,mega,true,Deceiver Pokémon,STEEL,FAIRY,HUGE_POWER,HUGE_POWER,HUGE_POWER,INTIMIDATE,480,50,105,125,55,95,50,false,false,false,11.5,0.6,45,50,133,FAST,50,false,false,false,
